Acronym,Projeto,Integrations
mcsv,mcsv-desafios-liveness-java , atad-integration; retr-integration
mcsv,mcsv-informacoes-atendimento-java , mcsv-corp; mcsv-integration; original-legacy; urao-integration;  ctcr-integration
mcsv,mcsv-interno-consulta-credito-rotativos-java , mcsv-integration; ctas-integration; cnio-corp; cdps-integration; cnio-integration; acpf-integration; atcl-integration; rtto-integration
mcsv,mcsv-taxa-cedente-java , aant-integration
mcsv,mcsv-consulta-contrato-renegociado-java , mcsv-corp; mcsv-integration; rnco-integration; crpl-integration; cdps-integration
mcsv,mcsv-contratacao-emprestimo-parcelado-java , empc-integration
mcsv,mcsv-consulta-emprestimo-parcelado-java , empc-integration; crpl-integration
mcsv,mcsv-token-pf-java , atkn-integration
mcsv,mcsv-interno-consultas-bpmo-java , mcsv-corp; mcsv-integration; acpf-integration; atcl-integration; cnio-corp; cnio-integration; bpmo-integration
mcsv,mcsv-simulacao-emprestimo-parcelado-java , empc-integration
mcsv,mcsv-operacoes-cartoes-java , ctcr-integration
mcsv,mcsv-aprovacao-proposta-java , rnco-corp; rnco-integration; cdps-corp; fwcl-corp; empp-integration
mcsv,mcsv-interno-parametrizacao-perfis-java , fwcl-corp; empc-integration
mcsv,mcsv-carteira-cobranca-digital-java , cbic-integration; fwcl-corp
mcsv,mcsv-abertura-conta-representante-pj-java , mcsv-corp; mcsv-integration; reip-integration
mcsv,mcsv-incluir-cotitular-java , bpmo-integration
mcsv,mcsv-cobranca-lote-java , cbic-integration; fwcl-corp
mcsv,mcsv-interno-restricao-cliente-java , mcsv-corp; mcsv-integration; mint-integration; alcd-integration
mcsv,mcsv-consultas-cartoes-java , mcsv-corp; mcsv-integration; ctcr-integration
mcsv,mcsv-renegociacao-dividas-correntista-java , fwcl-corp; rnco-corp; rnco-integration; glpf-integration; crpl-integration; ctpl-integration; ceno-integration; cdps-integration; ctcr-integration
mcsv,mcsv-abertura-conta-complemento-pj-java , reip-integration
mcsv,mcsv-interno-renegociacao-dividas-correntista-java , mcsv-corp; mcsv-integration; rnco-integration; cdps-integration
mcsv,mcsv-renegociacao-manutencao-java , fwcl-corp; rnco-corp; rnco-integration
mcsv,mcsv-simulacao-emprestimo-correntista-java , mcsv-corp; empp-integration
mcsv,mcsv-interno-consultas-emprestimo-correntista-java , mcsv-corp; empp-corp; atco-integration; mcsv-integration; empp-integration; crpl-integration; empc-integration; glpf-integration
mcsv,mcsv-emprestimo-correntista-java , empp-corp; empp-integration
mcsv,mcsv-renegociacao-java , rneg-corp; rneg-integration
mcsv,mcsv-interno-atendimento-java , acpf-integration; mcsv-integration; atcl-integration; cnio-corp; obot-integration; original-legacy; ator-integration
mcsv,mcsv-pag-original-java , pgto-integration
mcsv,mcsv-atualizacao-dados-cadastrais-java , cdps-integration; fwcl-corp; acad-integration
mcsv,mcsv-credito-pessoal-java , mcsv-corp; crpl-integration
mcsv,mcsv-captura-documentos-java , mcsv-corp; glpj-integration; gedc-integration
mcsv,mcsv-desafios-senha-cartao-java , mcsv-corp; mcsv-integration; retr-integration
mcsv,mcsv-renegociacao-dividas-java , mcsv-corp; mcsv-integration; rneg-integration; cdps-integration
mcsv,mcsv-proposta-java , mcsv-corp;mcsv-integration;empp-integration;maca-integration;ceno-integration;cbic-integration;gmnf-integration;cdps-integration;card-integration;rneg-integration;gedc-integration #      name: mcsv-corp;mcsv-integration
mcsv,mcsv-dados-cadastrais-pu-java , mbio-integration; cdps-integration; fwcl-corp
mcsv,mcsv-manutencao-cadastro-pj-java , mcsv-corp; atcl-integration; cdps-integration
mcsv,mcsv-open-banking-consentimentos-java , mcsv-corp
mcsv,mcsv-liquidacoes-detran-java , mcsv-corp; conv-integration; pgto-integration
mcsv,mcsv-interno-atualizacao-cadastral-java , mcsv-integration; ator-integration; cdps-integration
mcsv,mcsv-permissao-optin-java , intr-integration
mcsv,mcsv-interno-contato-cadastro-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;cdps-integration
mcsv,mcsv-interno-esqueci-minha-senha-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;atcl-integration
mcsv,mcsv-liveness-appkey-java , atad-integration; retr-integration; atcl-integration; atco-integration; reip-integration
mcsv,mcsv-interno-informe-rendimentos-java , cnio-corp; fisca-integration; acpf-integration; mcsv-integration; atcl-integration
mcsv,mcsv-interno-analise-callback-java , cnio-corp; acpf-integration; mcsv-integration; atcl-integration; clbk-integration
mcsv,mcsv-interno-manutencao-infracao-java , pvld-corp; pvld-integration; pgto-integration; aspa-integration; cend-integration
mcsv,mcsv-interno-consultas-pix-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;ctas-integration;intp-integration;pgto-integration
mcsv,mcsv-cartao-java , ctcr-integration
mcsv,mcsv-interno-capital-giro-java , mcsv-corp; mcsv-integration; empp-integration; cosg-integration; acpf-integration; atcl-integration; cnio-corp
mcsv,mcsv-interno-cobranca-digital-java , cbic-corp; cbic-integration; original-legacy; fwcl-corp; cnio-corp; acpf-integration; mcsv-integration; atcl-integration
mcsv,mcsv-interno-positivacao-cliente-java , mcsv-corp; mcsv-integration; cdps-corp; cdps-integration; ctas-corp; acpf-integration; atcl-integration; ctas-integration; cnio-corp; cnio-integration
mcsv,mcsv-interno-investimentos-java , mcsv-corp; mcsv-integration; original-legacy; acpf-integration; atcl-integration; cnio-corp; fdos-integration; inve-integration; tsbo-integration
mcsv,mcsv-interno-seguros-java , cosg-integration; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp
mcsv,mcsv-transferencia-parceiro-java , pgto-corp; original-legacy; pgto-integration
mcsv,mcsv-interno-prospects-java , cnio-corp; mcsv-integration; reip-integration; meta-integration; acpf-integration; atcl-integration
mcsv,mcsv-interno-contatos-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;meta-integration;reip-integration;mcsv-integration
