Sigla,Projeto,Arquivo,URL
mcsv,mcsv-open-banking-handoff-java,OpbkConsentClient.java,opbk.consentimentos.java.url
mcsv,mcsv-interno-renegociacao-posvenda-java,CdpsConsultarInformacoesClient.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-interno-renegociacao-posvenda-java,ContractConsultationClient.java,rnco.consulta.contrato.renegociado.java.url
mcsv,mcsv-interno-renegociacao-posvenda-java,CreditGeneratePaymentClient.java,credit.generate.payments.ms
mcsv,mcsv-interno-renegociacao-posvenda-java,PaymentsClient.java,empc.orq.pagamento.parcelado.java.url
mcsv,mcsv-interno-consulta-saldo-java,SaldoFeingService.java,ctas.saldo.java.url
mcsv,mcsv-interno-dominios-java,AcadConsultarInformacoesFeign.java,acad.consultas.dominios.java.url
mcsv,mcsv-interno-dominios-java,DomainsFeign.java,tbgr.dominios.java.url
mcsv,mcsv-consulta-dossie-java,ConsultaDossieFeign.java,original.url.consulta.dossie
mcsv,mcsv-interno-bens-cadastrados-java,BpmoAtivacaoBensFeign.java,bpmo.ativacao.bens.cmm.java.url
mcsv,mcsv-interno-bens-cadastrados-java,CdpsBensFeign.java,cdps.bens.cadastrados.java.url
mcsv,mcsv-interno-bens-cadastrados-java,CdpsCmmRestFeign.java,cdps.cmm.rest.java.url
mcsv,mcsv-interno-bens-cadastrados-java,TbgrDominiosFeign.java,tbgr.dominios.java.url
mcsv,mcsv-interno-consulta-cessao-credito-java,CreditInstalmentFeign.java,cess.consulta.transacoes.java.url
mcsv,mcsv-interno-consulta-parcelados-java,ConsultaParceladosFeignService.java,epat.consulta.transacoes.java.url
mcsv,mcsv-converter-informacoes-cliente-java,CustomerDataConsumerFeign.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-converter-informacoes-cliente-java,CustomerOperationsConsumerFeign.java,cdps.operacoes.clientes.java.url
mcsv,mcsv-converter-informacoes-cliente-java,SublimitsCustomerConsumerFeign.java,glpf.consulta.limites.java.url
mcsv,mcsv-informacoes-atendimento-java,CenoFeingClient.java,urao.informacoes.atendimento.java.url
mcsv,mcsv-informacoes-atendimento-java,CtrcFeingClient.java,ctcr.consultas.conta.cartao.java.url
mcsv,mcsv-interno-consulta-credito-rotativos-java,CdpsContasClientesFeign.java,cdps.contas.clientes.java.url
mcsv,mcsv-interno-consulta-credito-rotativos-java,CtasSaldoFeign.java,ctas.saldo.java.url
mcsv,mcsv-interno-consulta-credito-rotativos-java,RttoConsultarChequeEspecialFeign.java,rtto.consultar.contrato.cheque.especial.java
mcsv,mcsv-interno-consulta-credito-rotativos-java,RttoOperacoesFeign.java,rtto.operacoes.java.url
mcsv,mcsv-consulta-contrato-renegociado-java,CDPSServiceClient.java,cdps.consultar.informacoes.cliente.java.url
